sample,fastq1,fastq2,primer_id
HS10498, ./data/fastq/HS10498_B_1.fastq.gz, ./data/fastq/HS10498_B_2.fastq.gz, ARTIC_v5
MHM1600, ./data/fastq/MHM1600_B_1.fastq.gz, ./data/fastq/MHM1600_B_2.fastq.gz, ARTIC_v5
